workload,renderer,comparison,run,metric,raw_plus,unit,reference,candidate,improvement_percent,gate,notes
PGR2 snapshot,Vulkan,same-session baseline control vs published baseline,host drift diagnostic,average frame interval,+bad,ms,34.483841,34.93705649388462,-1.314283678215024,PASS,Diagnostic comparison; not a product-code result.
PGR2 snapshot,Vulkan,same-session baseline control vs published baseline,host drift diagnostic,p95 frame interval,+bad,ms,40.91,41.772,-2.1070642874602834,FAIL,Diagnostic comparison; not a product-code result.
PGR2 snapshot,Vulkan,same-session baseline control vs published baseline,host drift diagnostic,p99 frame interval,+bad,ms,45.186,46.044,-1.8988182180321271,PASS,Diagnostic comparison; not a product-code result.
PGR2 snapshot,OpenGL,candidate median vs previous-main median,ABBA control,average frame interval,+bad,ms,34.98442249482477,35.345985482938985,-1.033497089076435,PASS,Renderer negative control; all metrics inside 2%.
PGR2 snapshot,OpenGL,candidate median vs previous-main median,ABBA control,p95 frame interval,+bad,ms,42.174,42.702,-1.2519561815336433,PASS,Renderer negative control; all metrics inside 2%.
PGR2 snapshot,OpenGL,candidate median vs previous-main median,ABBA control,p99 frame interval,+bad,ms,47.24,47.6755,-0.9218882303132886,PASS,Renderer negative control; all metrics inside 2%.
PGR2 snapshot,OpenGL,candidate r2 vs same-session baseline control,adjacent host control,average frame interval,+bad,ms,35.4529143026005,35.44965839243495,0.0091837588801848,PASS,"Same immutable baseline executable, current host session."
PGR2 snapshot,OpenGL,candidate r2 vs same-session baseline control,adjacent host control,p95 frame interval,+bad,ms,42.724,42.958,-0.5477015260743417,PASS,"Same immutable baseline executable, current host session."
PGR2 snapshot,OpenGL,candidate r2 vs same-session baseline control,adjacent host control,p99 frame interval,+bad,ms,47.81,46.896,1.911733946873042,PASS,"Same immutable baseline executable, current host session."
PGR2 snapshot,OpenGL,same-session baseline control vs published baseline,host drift diagnostic,average frame interval,+bad,ms,35.122224,35.4529143026005,-0.9415414655988031,PASS,Diagnostic comparison; not a product-code result.
PGR2 snapshot,OpenGL,same-session baseline control vs published baseline,host drift diagnostic,p95 frame interval,+bad,ms,42.308,42.724,-0.983265576250347,PASS,Diagnostic comparison; not a product-code result.
PGR2 snapshot,OpenGL,same-session baseline control vs published baseline,host drift diagnostic,p99 frame interval,+bad,ms,46.086,47.81,-3.7408323568979815,FAIL,Diagnostic comparison; not a product-code result.
Morrowind snapshot,Vulkan,candidate vs previous main,candidate r1,display-write cadence,+good,events/s,24.185609803019748,24.123598687234885,-0.25639674289759107,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Vulkan,candidate vs previous main,candidate r1,p95 display-write interval,+bad,ms,47.606,48.111,-1.0607906566399097,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Vulkan,candidate vs previous main,candidate r1,p99 display-write interval,+bad,ms,53.097,53.964,-1.6328606135939834,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Vulkan,candidate vs fixed published baseline,candidate r1,display-write cadence,+good,events/s,23.7231158291,24.123598687234885,1.6881545452121172,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Vulkan,candidate vs fixed published baseline,candidate r1,p95 display-write interval,+bad,ms,47.99,48.111,-0.252135861637831,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Vulkan,candidate vs fixed published baseline,candidate r1,p99 display-write interval,+bad,ms,57.134,53.964,5.548359995799352,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs previous main,candidate r1,display-write cadence,+good,events/s,33.8876373043721,34.24314979305423,1.0490919903591633,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs previous main,candidate r1,p95 display-write interval,+bad,ms,36.683,36.099,1.5920181010277328,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs previous main,candidate r1,p99 display-write interval,+bad,ms,40.629,41.051,-1.038666962022211,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs fixed published baseline,candidate r1,display-write cadence,+good,events/s,32.7984268773,34.24314979305423,4.4048542973081695,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs fixed published baseline,candidate r1,p95 display-write interval,+bad,ms,38.098,36.099,5.246994592892022,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
Morrowind snapshot,Opengl,candidate vs fixed published baseline,candidate r1,p99 display-write interval,+bad,ms,42.848,41.051,4.193894697535468,PASS,"Active outdoor gameplay; no pause/reconnect overlay. Cadence is a guest-progress proxy, not rendered FPS."
